CH	Sensor name	HV[V]	Fluence	DB_X	DB_Y		
1	FBK_W8_SB_LGAD	-350	0	33	32
2	FBK_W6_1.5e15GR	-150	1.5e15		
7	FBK_W6_2x8	-140	0	33	32		
10	FBK_W6_2x8	-140	0	33	32
11	FBK_W6_2x8	-140	0	33	32
12	FBK_W6_2x8	-140	0	33	32
13	FBK_W6_2x8	-140	0	33	32
14	FBK_W6_2x8	-140	0	33	32
15	FBK_W6_2x8	-140	0	33	32
16	FBK_W6_2x8	-140	0	33	32
